,[job_title],[location],[company],[senior_level]
1166,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1167,Head of Data Science,BioTrillion,"San Francisco, CA",yes
1168,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1169,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1170,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1171,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1172,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1173,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1174,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1175,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1176,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1177,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
1178,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1179,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1180,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1181,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1182,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1183,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1184,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1185,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1186,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1187,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
1188,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1189,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1190,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1191,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1192,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1193,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
1194,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1195,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1196,Data Science Instructor - D & I,Elder Research Inc,"Chantilly, VA 20151",yes
1197,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1198,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1199,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
