,[job_title],[parttime]
403,Data Scientist / Machine Learning Specialist,yes
404,CDC Influenza Data Science Fellowship,yes
405,"Data Science-Online Adjunct, Graduate Level",yes
406,Data Science Intern,yes
407,Data Science Intern,yes
408,Data Scientist,yes
409,Artificial Intelligence (AI) Associate - Data Scientist,yes
410,Data Science Internship,yes
411,Artificial Intelligence (AI) Associate - Data Scientist,yes
412,Data Science Internship,yes
413,Data Engineer,yes
414,Internship - Data Science,yes
415,"Paid Summer Intern - Undergraduate, Data Science",yes
416,Statistician (Data Scientist),yes
417,Data Scientist Intern,yes
418,Data Science Internship,yes
419,Data Scientist / Machine Learning Specialist,yes
420,Data Science Internship,yes
421,Data Scientist / Machine Learning Specialist,yes
422,Part-Time Lecturer Data Mining/Machine Learning Online,yes
423,Artificial Intelligence (AI) Associate - Data Scientist,yes
424,Data Science Internship,yes
425,Data Scientist,yes
426,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
427,Data Science Internship,yes
428,Adjunct Faculty for Online Data Science Program--Data Analytics - Bay Path University,yes
429,Adjunct Faculty for Online Data Science Program--Data Exploration and Visualization - Bay Path University,yes
430,Statistician (Data Scientist),yes
431,Statistician (Data Scientist),yes
432,Artificial Intelligence (AI) Associate - Data Scientist,yes
433,Data Scientist / Machine Learning Specialist,yes
434,Data Science Internship,yes
435,Data Scientist,yes
436,Data Science Instructor Associate (Part-Time),yes
437,Data Engineer,yes
438,Internship - Data Science,yes
439,Data Science Internship,yes
440,Data Engineer II,yes
441,Artificial Intelligence (AI) Associate - Data Scientist,yes
442,Data Science Internship,yes
443,Sr. Data Engineer,yes
444,Data Scientist / Machine Learning Specialist,yes
445,Data Science Instructor Associate (Part-Time),yes
446,Summer Intern - Data Scientist,yes
447,Statistician (Data Scientist),yes
448,Internship - Data Science,yes
449,Part-Time Data Science Instructor,yes
450,Data Science Instructor,yes
451,Statistician (Data Scientist),yes
452,Artificial Intelligence (AI) Associate - Data Scientist,yes
453,Data Scientist / Machine Learning Specialist,yes
454,Data Science Internship,yes
455,Data Scientist,yes
456,Data Science Instructor Associate (Part-Time),yes
457,Data Engineer,yes
458,Internship - Data Science,yes
459,Data Science Internship,yes
460,Data Engineer II,yes
461,Data Science & Analytics Intern,yes
462,Data Science Internship,yes
