,[job_title],[location],[company],[mid_level]
942,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
943,Data Engineer,FutureSoft IT,"Detroit, MI",yes
944,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
945,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
946,Data Science and Analytics Specialist,"Chesterfield County, VA","Chesterfield, VA",yes
947,Data Scientist,Booz Allen Hamilton,"Fayetteville, NC 28303",yes
948,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
949,Data Scientist,DTE Energy,"Detroit, MI",yes
950,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
951,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
952,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
953,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
954,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
955,Data Scientist,Best Buy,"Richfield, MN 55423",yes
956,Data Scientist (Machine Learning),Apple,"Santa Clara Valley, CA 95014",yes
957,"Product Analyst, Data Science",Google,"New York, NY 10011 (Chelsea area)",yes
958,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
959,Data Scientist,DTE Energy,"Detroit, MI",yes
960,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
961,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
962,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
963,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
964,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
965,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
966,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
967,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
968,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
969,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
970,Data Scientist,Dow Technologies and Systems,"United, PA",yes
971,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
972,Data Scientist,Imprimis Group,"Dallas, TX 75202 (City Center District area)",yes
973,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
974,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
975,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
976,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
977,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
978,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
979,Data Scientist,DTE Energy,"Detroit, MI",yes
980,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
981,Data Scientist,Dow Technologies and Systems,"United, PA",yes
982,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
983,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
984,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
985,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
