,[job_title],[location],[company],[contract]
2018,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
2019,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
2020,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
2021,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2022,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2023,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2024,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2025,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
2026,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
2027,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2028,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2029,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2030,Data Scientist,Kaav inc.,"Dublin, OH",yes
2031,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2032,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2033,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2034,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2035,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2036,Data Scientist,Kaav inc.,"Dublin, OH",yes
2037,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2038,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2039,Data Scientist,Pricesenz,"Broomfield, CO",yes
2040,Data Science Architect,Themesoft,"Mountain View, CA",yes
2041,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2042,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2043,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2044,Data Scientist,Digitalogy,"New York, NY",yes
2045,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2046,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2047,Data Scientist,Pricesenz,"Broomfield, CO",yes
2048,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2049,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2050,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2051,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2052,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2053,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2054,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2055,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2056,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
2057,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2058,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
2059,Data Scientist,Digitalogy,"New York, NY",yes
2060,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
2061,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2062,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2063,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2064,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2065,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2066,Data Engineer,FutureSoft IT,"Detroit, MI",yes
